LineCount,Group,DuplicateFile,StartLine,EndLine
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\Object\DataObject.cs,44,68
12,Core.Service.Listener,D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.ListenerService\SubscriptionListener.cs,28,42
12,Core.Service.Listener,D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.PublishService\PublishListener.cs,40,54
12,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctEvents.js,2,14
12,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2393,2405
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectDeleteRange.cs,45,69
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\ChannelRangeInfo.cs,45,69
12,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectGetRange.cs,45,69
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\DataValue.cs,30,54
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\AnyArray.cs,33,57
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\IndexValue.cs,29,53
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\StreamingStartIndex.cs,31,55
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\DataArray\GetDataArray.cs,27,51
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Store\GetObject.cs,27,51
13,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\Discovery\GetResources.cs,27,51
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\TextSample.cs,8,34
13,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\TextSample.cs,8,34
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\ImageSample.cs,8,38
13,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\ImageSample.cs,8,38
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Models\AccountViewModels.cs,72,86
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Models\AccountViewModels.cs,94,108
13,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,723,736
13,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\platform.js,1,14
13,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\InvalidSample.cs,8,34
13,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\InvalidSample.cs,8,34
13,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\EventDataProcessor.cs,282,306
13,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\CommandProcessor.cs,352,373
14,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\ModelDescriptions\ModelNameHelper.cs,8,33
14,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\ModelDescriptions\ModelNameHelper.cs,8,33
14,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\ChannelStreaming\ChannelDataChange.cs,61,89
14,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Datatypes\ChannelData\ChannelRangeInfo.cs,36,64
15,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5331,5348
15,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\TangentialGrid.js,4,21
16,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\WellCommandProcessor.cs,124,159
16,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\WellEvtDataProcessor.cs,101,141
17,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,1608,1626
17,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctColor.js,2,20
17,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\ApiDescriptionExtensions.cs,8,36
17,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\ApiDescriptionExtensions.cs,8,36
19,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Core\EventDataBase.cs,11,47
19,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Core\CommandBase.cs,12,49
20,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectGet.cs,28,65
20,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectDelete.cs,28,65
21,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\StoreNotification\ChangeNotification.cs,20,40
21,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\StoreNotification\DeleteNotification.cs,20,40
21,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,174,202
21,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\device.js,5,33
21,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctGraphic.js,2,27
21,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2407,2432
22,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Core\ProcessorBase .cs,13,55
22,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.Core\EventDataProcessorBase.cs,13,55
22,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\EventDataProcessor.cs,47,103
22,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\CommandProcessor.cs,54,112
